event_id,place_id,title,start_date,end_date,source_url,raw_description,ai_tags
1,1,한강 여름 야시장 & 달빛 버스킹,2026-07-26,2026-08-11,https://example.com/events/1,주말 한강의 바람을 맞으며 푸드트럭 음식과 멋진 인디 음악 공연을 즐겨보세요! 유모차 접근성이 좋고 돗자리를 깔 수 있어 온 가족이 함께 즐기기 안성맞춤입니다.,family:0.95;couple:0.80;single:0.60;주차편리;유모차;수유실;야외공원;피크닉
2,2,2026 무신사 뷰티 & 브랜드 팝업쇼,2026-07-26,2026-08-27,https://example.com/events/2,"글로벌 패션&뷰티 브랜드들이 참여하는 초대형 팝업스토어! 한정판 굿즈 배포 및 셀럽 방문, 인생샷을 찍을 수 있는 포토존이 다채롭게 마련되어 있습니다.",family:0.20;couple:0.95;single:0.85;인생샷;팝업스토어;핫플;주말데이트
3,3,디지털 캔버스: 현대 미술의 경계전,2026-07-26,2026-08-16,https://example.com/events/3,세계적인 미디어 아티스트들이 참여하여 관객의 모션에 실시간으로 반응하는 몰입형 미디어 아트 특별전. 혼자서 사색하며 깊이 있는 문화예술을 즐기기 좋습니다.,family:0.40;couple:0.75;single:0.95;실내;미술관;사색;조용한;예약제
4,4,아기동물 교감 스쿨 & 물놀이 페스티벌,2026-07-26,2026-09-08,https://example.com/events/4,어린이 동반 가족을 위한 맞춤형 체험 행사. 유모차 대여 시설이 잘 갖춰져 있으며 넓은 잔디광장과 무료 동물원 관람이 가능해 아기 동반 가족의 만족도가 매우 높습니다.,family:1.00;couple:0.50;single:0.30;주차편리;유모차;수유실;체험;아이와함께
5,5,혜화동 대학로 연계 야경 도보 산책,2026-07-26,2026-08-30,https://example.com/events/5,서울 성곽을 따라 펼쳐지는 은은한 조명과 아름다운 야경을 바라보며 걸을 수 있는 성곽 데이트 코스. 주변의 예쁜 루프탑 카페와 연계하기 좋습니다.,family:0.30;couple:0.98;single:0.70;야경;데이트코스;산책로;인생샷
6,6,전통 한옥 속 현대 공예 팝업 전,2026-07-26,2026-08-10,https://example.com/events/6,100년 된 익선동 한옥에서 펼쳐지는 청년 작가들의 현대 도자기 및 섬유 예술품 전시. 협소한 한옥 구조로 인해 안전상의 이유로 노키즈존으로 운영됩니다.,family:0.10;couple:0.85;single:0.90;노키즈존;한옥;갤러리;데이트;사색;소품샵
7,7,명사 초청 주말 문학 아카데미,2026-07-26,2026-09-08,https://example.com/events/7,초대형 책장 인테리어로 전 세계 여행객들의 이목을 끄는 복합 인문학 공간. 쾌적한 실내 쇼핑몰과 연결되어 날씨에 상관없이 유모차를 타거나 아이들과 걷기 좋습니다.,family:0.80;couple:0.85;single:0.85;실내;도서관;주차편리;유모차;복합쇼핑몰
8,8,2026 경복궁 주말 달빛 기행,2026-07-26,2026-09-06,https://example.com/events/8,어두운 밤 달빛 아래 고요하게 빛나는 근정전과 경회루를 거니는 최고 인기 야간 문화 행사. 한복 착용 시 무료입장이 가능하며 웅장한 인생샷을 남길 수 있습니다.,family:0.70;couple:0.97;single:0.60;고궁;야간개장;인생샷;한복체험;사전예약
9,9,심야 책방 & 작가와의 북토크,2026-07-26,2026-08-25,https://example.com/events/9,주말 저녁 소수의 인원만 예약을 받아 진행하는 독립작가 북토크 콘서트. 잔잔한 음악과 아늑한 공간에서 조용하게 한 주간의 스트레스를 해소하고 깊은 독서를 즐길 수 있습니다.,family:0.05;couple:0.50;single:1.00;노키즈존;독립서점;조용한;북토크;사색;예약제
10,10,반포 달빛무지개분수 & 재즈나잇,2026-07-26,2026-08-20,https://example.com/events/10,세계 최장 분수로 기네스북에 등재된 반포 한강의 달빛무지개분수 쇼를 배경으로 흐르는 감미로운 재즈 선율. 낭만적인 분위기로 커플들의 주말 필수 데이트 성지입니다.,family:0.75;couple:0.99;single:0.65;야외;분수쇼;야경;주차편리;데이트코스
