source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
네이버 지역검색 API | 서울 강남구,독립서점,여행책가방,상시,성인 (개인 방문 적합),"서울특별시 강남구 광평로51길 22 한아름상가 205호 | 좌표:1271039293,374892423",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 독립서점 관련 장소 [여행책가방] (쇼핑,유통>서점). 전화: 정보없음",https://blog.naver.com/hellotravelbook,"single:0.95;couple:0.4;family:0.3;쇼핑,유통>서점;독립서점",2026-08-23 19:43:15,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,노브북스,상시,성인 (개인 방문 적합),"서울특별시 강남구 도산대로 235 1층 | 좌표:1270326467,375215843",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 독립서점 관련 장소 [노브북스] (쇼핑,유통>서점). 전화: 정보없음",https://www.instagram.com/nov_books_9,"single:0.95;couple:0.4;family:0.3;쇼핑,유통>서점;독립서점",2026-08-23 19:43:15,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,우공이산컴퍼니,상시,성인 (개인 방문 적합),"서울특별시 강남구 압구정로28길 42 401호 | 좌표:1270274732,375237849",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 독립서점 관련 장소 [우공이산컴퍼니] (서비스,산업>장소대여). 전화: 정보없음",https://www.instagram.com/yu.gong.yi.shan,"single:0.95;couple:0.4;family:0.3;서비스,산업>장소대여;독립서점",2026-08-23 19:43:15,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,도토리책방,상시,성인 (개인 방문 적합),"서울특별시 광진구 아차산로41길 7 1층 101호 | 좌표:1270788141,375381452",장소 문의 (전화/홈페이지 참조),서울 강남구에 위치한 독립서점 관련 장소 [도토리책방] (서점>독립서점). 전화: 정보없음,https://www.instagram.com/dotori_bookstore,single:0.95;couple:0.4;family:0.3;서점>독립서점;독립서점,2026-08-23 19:43:15,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,비주얼 콜렉트,상시,성인 (개인 방문 적합),"서울특별시 성동구 연무장13길 3 2층 오른쪽호 | 좌표:1270579389,375420006",장소 문의 (전화/홈페이지 참조),서울 강남구에 위치한 독립서점 관련 장소 [비주얼 콜렉트] (서점>독립서점). 전화: 정보없음,https://smartstore.naver.com/visualcollect,single:0.95;couple:0.4;family:0.3;서점>독립서점;독립서점,2026-08-23 19:43:15,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,북앤레스트,상시,성인 (개인 방문 적합),"서울특별시 강남구 삼성로104길 22 예림빌딩 1층 (서울특별시 강남구 삼성동 153 예림빌딩 1층) | 좌표:1270565584,375110369",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 북카페 관련 장소 [북앤레스트] (카페,디저트>북카페). 전화: 정보없음",http://instagram.com/booknrest,"single:0.85;couple:0.4;family:0.3;카페,디저트>북카페;북카페",2026-08-23 19:43:15,bookstore:0.8;quiet:0.9;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,테라로사 포스코센터점,상시,성인 (개인 방문 적합),"서울특별시 강남구 테헤란로 440 포스코센터 1층 | 좌표:1270560829,375060634",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 북카페 관련 장소 [테라로사 포스코센터점] (카페,디저트>카페). 전화: 정보없음",https://terarosa.com,"single:0.85;couple:0.4;family:0.3;카페,디저트>카페;북카페",2026-08-23 19:43:15,bookstore:0.8;quiet:0.9;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,북어위크,상시,성인 (개인 방문 적합),"서울특별시 강남구 자곡로11길 28 LH수서2단지 상가 2층, 201호 | 좌표:1271073288,374786262",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 북카페 관련 장소 [북어위크] (음식점>카페,디저트). 전화: 정보없음",https://www.youtube.com/@bookaweek2018,"single:0.85;couple:0.4;family:0.3;음식점>카페,디저트;북카페",2026-08-23 19:43:15,bookstore:0.8;quiet:0.9;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,북카페레벤,상시,성인 (개인 방문 적합),"서울특별시 강남구 학동로 116 북카페레벤, 성바오로서원 | 좌표:1270236652,375116105",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 북카페 관련 장소 [북카페레벤] (카페,디저트>북카페). 전화: 정보없음",https://blog.naver.com/bookcafeleben,"single:0.85;couple:0.4;family:0.3;카페,디저트>북카페;북카페",2026-08-23 19:43:15,bookstore:0.8;quiet:0.9;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,독립서점,카페 공명 신사 가로수길점,상시,성인 (개인 방문 적합),"서울특별시 강남구 도산대로15길 32-4 지하1층, 1층, 2층, 3층 | 좌표:1270239065,375206435",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 북카페 관련 장소 [카페 공명 신사 가로수길점] (카페,디저트>카페). 전화: 정보없음",https://cafegm.kr/,"single:0.85;couple:0.4;family:0.3;카페,디저트>카페;북카페",2026-08-23 19:43:15,bookstore:0.8;quiet:0.9;indoor:1.0,2,70
네이버 지역검색 API | 서울 강남구,조용한 힐링,토즈 모임센터 강남역 회의실타워점,상시,성인 (개인 방문 적합),"서울특별시 강남구 강남대로84길 24-4 1~6층 | 좌표:1270306659,374967416",장소 문의 (전화/홈페이지 참조),"서울 강남구에 위치한 스터디카페 관련 장소 [토즈 모임센터 강남역 회의실타워점] (임대,대여>장소대여). 전화: 정보없음",https://blog.naver.com/toztower_24,"single:0.9;couple:0.4;family:0.3;임대,대여>장소대여;스터디카페",2026-08-23 19:43:15,healing:0.7;quiet:1.0;solo:1.0,2,70
