source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,굿브랜딩북스,상시,성인 (개인 방문 적합),"(41946) 대구광역시 중구 달구벌대로447길 72-1 | 위도:35.86561079, 경도:128.6083915",무료입장 (도서 구매 별도),"[굿브랜딩북스] / 큐레이션 서점, 핸드드립 커피도 판매 / 운영정보: 평일개점마감시간 : 11:00~21:00토요일개점마감시간 : 11:00~21:00일요일개점마감시간 : 11:00~19:00, 휴무일 : 월요일 휴무: / 전화: 0534261765",https://map.naver.com/v5/search/%EA%B5%BF%EB%B8%8C%EB%9E%9C%EB%94%A9%EB%B6%81%EC%8A%A4,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,하늘밭봄,상시,성인 (개인 방문 적합),"(36544) 경상북도 영양군 입암면 대천길 435 | 위도:36.60826725, 경도:129.0061287",무료입장 (도서 구매 별도),"[하늘밭봄] / 고즈넉한 산골의 가정식 작은 서점에서,북스테이 , 주차 가능, 화장실 남녀 구분, 북토크 가능, 독서모임 가능, 강연 가능 / 운영정보: 평일개점마감시간 : 11:00~18:00토요일개점마감시간 : 11:00~18:00일요일개점마감시간 : 11:00~18:00, 휴무일 : 휴무일은 비정기적으로 블로그에 공지 / 전화: 01090210446",https://map.naver.com/v5/search/%ED%95%98%EB%8A%98%EB%B0%AD%EB%B4%84,single:0.95;couple:0.4;family:0.3;독립서점,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,오후엔책방,상시,성인 (개인 방문 적합),"(38877) 경상북도 영천시 금호읍 금호시장길 5 1층 | 위도:35.93265989, 경도:128.8773902",무료입장 (도서 구매 별도),"[오후엔책방] / 그림책 & 독립출판물 제로웨이스트 , 카페 있음, 독서모임 가능 / 운영정보: 평일개점마감시간 : 12:00~18:00토요일개점마감시간 : 12:00~18:00일요일개점마감시간 : 12:00~18:00, 휴무일 : 월요일, 화요일 휴무 / 전화: 01031865190",https://map.naver.com/v5/search/%EC%98%A4%ED%9B%84%EC%97%94%EC%B1%85%EB%B0%A9,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,"서점,오브덕",상시,성인 (개인 방문 적합),"(36324) 경상북도 울진군 울진읍 읍내8길 5 5층 서점오브덕 | 위도:36.99485788, 경도:129.4016556",무료입장 (도서 구매 별도),"[서점,오브덕] / 주차 가능, 화장실 남녀 구분, 카페 있음, 독립출판물 있음, 독서모임 가능 / 운영정보: 평일개점마감시간 : 14:00~22:00토요일개점마감시간 : 14:00~22:00일요일개점마감시간 : 14:00~22:00, 휴무일 : 월요일휴무 / 전화: 01097957115",https://map.naver.com/v5/search/%EC%84%9C%EC%A0%90%2C%EC%98%A4%EB%B8%8C%EB%8D%95,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,달팽이책방,상시,성인 (개인 방문 적합),"(37664) 경상북도 포항시 남구 효자동길10번길 32 | 위도:36.0090452, 경도:129.3331432",무료입장 (도서 구매 별도),"[달팽이책방] / 동네책방 & 홍차전문점. 엄선한 인문학 도서와 소규모 독립출판물을 판매하며, 젊은 아티스트의 작품을 소개 , 독립출판물 있음 / 운영정보: 평일개점마감시간 : 13:00~21:00토요일개점마감시간 : 13:00~18:00일요일개점마감시간 : 13:00~18:00, 휴무일 : 월요일 휴무 / 전화: 07075323316",https://map.naver.com/v5/search/%EB%8B%AC%ED%8C%BD%EC%9D%B4%EC%B1%85%EB%B0%A9,single:0.95;couple:0.4;family:0.3;독립서점;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,마음을가다듬다,상시,성인 (개인 방문 적합),"(37590) 경상북도 포항시 북구 천마로72번길 7 남광하우스토리 상가동 201호 | 위도:36.08317617, 경도:129.3977937",무료입장 (도서 구매 별도),"[마음을가다듬다] / 서적, 문구, 선물 판매, 상담가능, 아기자기 용품들 구매하고 기부하는곳,  따뜻한 커피, 차, 스낵 / 운영정보: 평일개점마감시간 : 10:30~15:30 / 전화: 01076226349",https://map.naver.com/v5/search/%EB%A7%88%EC%9D%8C%EC%9D%84%EA%B0%80%EB%8B%A4%EB%93%AC%EB%8B%A4,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,동네책방숨,상시,성인 (개인 방문 적합),"(62248) 광주광역시 광산구 수완로74번길 11-8 | 위도:35.19209674, 경도:126.8301652",무료입장 (도서 구매 별도),"[동네책방숨] / 1박2일간 책을 읽으며 머무를 수 있는 장소 , 독립출판물 있음, 북토크 가능, 독서모임 가능, 강연 가능 / 운영정보: 평일개점마감시간 : 12:00~19:00토요일개점마감시간 : 12:00~18:00, 휴무일 : 일요일, 월요일 휴무 / 전화: 0629549420",https://map.naver.com/v5/search/%EB%8F%99%EB%84%A4%EC%B1%85%EB%B0%A9%EC%88%A8,single:0.95;couple:0.4;family:0.3;독립서점;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,사과서점,상시,성인 (개인 방문 적합),"(41958) 대구광역시 중구 명륜로23길 28 | 위도:35.86132289, 경도:128.5959688",무료입장 (도서 구매 별도),"[사과서점] / 시,소설, 어른을위한 그림책 , 리뷰 있음 / 운영정보: 평일개점마감시간 : 12:00~19:30토요일개점마감시간 : 12:00~19:30일요일개점마감시간 : 12:00~19:30, 휴무일 : 인스타 공지 참고 / 전화: 01020699362",https://map.naver.com/v5/search/%EC%82%AC%EA%B3%BC%EC%84%9C%EC%A0%90,single:0.95;couple:0.4;family:0.3;독립서점,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,봉산19,상시,성인 (개인 방문 적합),"(41958) 대구광역시 중구 봉산문화길 19 2층 | 위도:35.86096031, 경도:128.5981582",무료입장 (도서 구매 별도),"[봉산19] / 독립출판물과 맥주,칵테일 판매점 , 화장실 남녀 구분 / 운영정보: 평일개점마감시간 : 13:00~23:00토요일개점마감시간 : 13:00~23:00일요일개점마감시간 : 13:00~23:00 / 전화: 05313086940",https://map.naver.com/v5/search/%EB%B4%89%EC%82%B019,single:0.95;couple:0.4;family:0.3;독립서점;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,러브앤프리,상시,성인 (개인 방문 적합),"(61640) 광주광역시 남구 천변좌로418번길 17 1층 | 위도:35.1408847, 경도:126.9157444",무료입장 (도서 구매 별도),"[러브앤프리] / 감성적인 분위기의 독립출판물점 , 주차 가능, 화장실 남녀 구분, 카페 있음, 독립출판물 있음, 북토크 가능, 독서모임 가능, 강연 가능 / 운영정보: 평일개점마감시간 : 12:00~19:00토요일개점마감시간 : 12:00~19:00일요일개점마감시간 : 12:00~19:00 / 전화: 0624180714",https://map.naver.com/v5/search/%EB%9F%AC%EB%B8%8C%EC%95%A4%ED%94%84%EB%A6%AC,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
문화공공데이터광장 | 전국 독립서점 및 운영정보,독립서점,리을피읖 LOCAL BOOKS,상시,성인 (개인 방문 적합),"(61430) 광주광역시 동구 동계로15번길 17 | 위도:35.15391314, 경도:126.9230183",무료입장 (도서 구매 별도),"[리을피읖 LOCAL BOOKS] / 사진책만 있는 책방 , 카페 있음, 독립출판물 있음 / 운영정보: 토요일개점마감시간 : 13:00~18:00 / 전화: 01036287178",https://map.naver.com/v5/search/%EB%A6%AC%EC%9D%84%ED%94%BC%EC%9D%96%20LOCAL%20BOOKS,single:0.95;couple:0.4;family:0.3;독립서점;cafe:1.0;indie_pub:1.0,2026-08-23 19:50:49,bookstore:1.0;quiet:1.0;indoor:1.0,2,70
